zipcode,lat_zip,long_zip,Amazon_HQ,Microsoft,Starbucks,Boeing_Plant
98038,47.3845,-122.0574,28.9,26.7,25.7,23.4
98023,47.3104,-122.3612,27.1,32.6,23.9,21.5
98116,47.5746,-122.3934,7.8,20.1,4.3,6.5
98117,47.6873,-122.3772,6.4,16.6,9.3,13.3
98034,47.7188,-122.1966,15.0,10.7,19.0,21.3
98065,47.5293,-121.8225,30.1,27.4,28.9,31.2
98031,47.388,-122.1932,23.0,23.9,19.8,17.5
98075,47.5857,-122.0345,21.6,11.6,20.4,22.7
98028,47.7542,-122.2475,13.2,16.6,16.5,18.8
98103,47.6733,-122.3426,4.2,13.7,7.1,10.5
98004,47.6155,-122.2072,8.6,5.8,11.1,13.4
98166,47.4511,-122.353,14.1,24.8,10.6,9.3
98077,47.7529,-122.0582,22.0,10.9,25.3,27.6
98008,47.6115,-122.1162,15.5,3.7,14.3,16.6
98006,47.5614,-122.1552,14.0,10.7,12.8,15.1
98199,47.6488,-122.3964,4.6,16.6,7.9,11.0
98052,47.6718,-122.1232,14.1,3.0,17.5,19.7
98136,47.5398,-122.3878,8.4,20.7,5.0,7.1
98108,47.5413,-122.3129,7.2,18.5,4.0,0.3
98055,47.4648,-122.2075,16.3,16.1,13.1,10.7
98027,47.4974,-122.0107,37.5,34.9,36.3,38.6
98058,47.4465,-122.1216,22.6,20.4,19.4,17.0
98144,47.5846,-122.3005,4.4,14.6,2.5,4.2
98115,47.6849,-122.2968,5.9,14.7,9.2,11.5
98168,47.4889,-122.3012,11.1,22.0,7.7,4.5
98102,47.6302,-122.321,1.4,12.1,4.6,6.9
98042,47.368,-122.1206,27.5,25.8,24.3,21.9
98059,47.5058,-122.1157,18.1,15.5,16.9,16.9
98002,47.305,-122.2067,32.9,32.8,29.7,27.3
98155,47.7559,-122.3003,11.9,20.8,15.3,17.5
98072,47.7684,-122.1271,21.3,12.8,25.3,27.6
98001,47.3099,-122.2653,25.8,29.0,22.6,20.3
98112,47.6301,-122.2972,4.1,11.3,7.4,9.7
98007,47.6174,-122.1426,12.4,2.4,13.1,15.3
98177,47.7467,-122.3686,11.2,20.1,14.6,16.8
98074,47.6254,-122.0462,20.4,9.3,23.5,26.0
98119,47.6379,-122.3643,2.8,14.5,5.7,9.2
98011,47.7497,-122.2159,19.2,14.9,23.3,25.5
98014,47.638,-121.9111,25.9,14.8,31.7,34.0
98106,47.5344,-122.3547,8.5,20.9,5.0,3.7
98045,47.4755,-121.7571,33.5,30.8,32.3,34.6
98033,47.6786,-122.1894,11.9,7.6,16.0,18.3
98125,47.717,-122.3015,8.9,17.8,12.2,14.5
98133,47.7377,-122.3431,9.9,18.8,13.2,15.5
98053,47.6462,-122.0386,18.5,7.4,21.8,24.1
98122,47.6116,-122.3056,2.5,12.4,3.8,6.1
98022,47.2665,-122.0314,41.6,41.5,38.3,36.0
98178,47.4924,-122.2359,12.7,16.9,9.5,7.2
98148,47.4441,-122.3249,13.6,23.4,10.2,8.9
98019,47.725,-121.9369,26.0,14.9,29.4,31.6
98010,47.3114,-122.0053,34.3,32.0,31.0,28.7
98070,47.4259,-122.4644,19.6,31.9,16.2,16.2
98056,47.5073,-122.1819,16.3,13.6,16.2,13.8
98030,47.3866,-122.2109,22.1,23.0,18.9,16.6
98188,47.4483,-122.2731,16.7,21.6,13.5,11.1
98029,47.5585,-122.0055,19.4,16.7,18.1,20.4
98107,47.6701,-122.3763,4.8,15.2,7.7,11.1
98105,47.6633,-122.3022,4.0,11.4,7.3,9.6
98198,47.3929,-122.3129,20.1,25.6,16.9,12.5
98003,47.3203,-122.3117,24.0,29.5,20.8,18.4
98118,47.5412,-122.275,8.3,19.5,5.1,2.6
98126,47.5444,-122.3735,8.0,20.3,4.6,6.8
98040,47.5603,-122.2281,9.0,12.4,7.8,10.0
98092,47.2884,-122.098,37.1,37.1,33.9,31.6
98032,47.3776,-122.2854,19.4,24.9,16.2,13.8
98146,47.4995,-122.3603,10.9,23.3,7.5,6.1
98024,47.5682,-121.8896,27.4,17.4,26.1,28.4
98005,47.615,-122.1663,10.9,3.7,13.0,15.3
98039,47.6269,-122.2314,7.9,7.9,11.3,13.6
98109,47.6339,-122.3476,1.4,13.5,4.3,7.8
